output_id,output
CleanUp3_2,|55555555555555|55555555555555|55555555555555|55555555555555|55555555555555|55555555555555|55555555555555|55555555555555|55555555555555| |55555555555555|55007555555555|55005557500575|55000555500555|75555555555555|55555555070055|55755555555555|55555755500555|55555555500557| |55555555555555|55007555050055|55005557000075|55000555000055|75555555000055|55555555070055|55755555000055|55555755000055|55555555500557|
Copy9_0,|060000060|090000990|600009996|000009990|000000900|000000000|000000000|660000000|060000060|000000000| |060000060|090000996|600009996|000000900|000000900|000000000|000900000|666000000|066000060|006000000| |060000000|000000990|000009990|000000900|000000000|000000000|000000000|666000000|066000090|006000000|
Copy9_1,|0000000000|0333004440|0303004040|0333004440|0000000300|0000000000|0000000330|0000300040|0000000430|0000000000| |0000000000|0333004440|0303304040|0333004440|0000000000|0000000000|0003000440|0003300440|0000000400|0000000000| |0000000000|0333004440|0303004040|0333004440|0000000300|0000000000|0004000330|0000300040|0004000430|0000000000|
Copy9_2,|0000000000|0000000000|2202200000|0000000000|0000000000|0000005555|0000050050|0000050505|0020005200|0200000000|0000000000|0000000000| |0020000000|0020000000|2222200000|0020000000|0020000220|0000000000|0000050020|0000500000|0022002020|0020000000|0000000000|0000000000| |0020000000|0020000000|2222200000|0020000000|0020000000|0000000555|0000050050|0000000505|0020005200|0000000000|0000000000|0000000000|
Copy4_0,|0000444400000|0000444420000|0000000000000|0000222200000|0000222200000|0000222211111|0000222211111|0000000000000|0200011202200|0000011222000|0000011202000|0000011200000|0000011200000| |0000444440004|0000444440004|0000000000000|0000222220002|0000200220002|0000200220002|0000222220002|0000000000000|0200021002000|0000011000000|0000011000000|0000011000000|0000011000000| |0000444400000|0000444400000|0000000000000|0000222200000|0000200200000|0000200200000|0000222200000|0000000000000|0200111002000|0000111000000|0000111000000|0000111000000|0000111000000|
Copy4_1,|0000000000|0555555555|0555005555|0000000000|0000000000|0000000000|0500000055|0000000000|0000000000|0500000055|0000000000|0000000000|0500000055|0000000000| |0000000000|0555555555|0555055555|0000000000|0000000000|0000000000|0500050005|0000000000|0000000000|0500050005|0000000000|0000000000|0500050005|0000000000| |0000000000|0555555550|0555005550|0000000000|0000000000|0000000000|0500000000|0000000000|0000000000|0500000000|0000000000|0000000000|0500000000|0000000000|
Copy4_2,|60000000600666666666|60777770600076077777|60737370600076773737|60737370600076373737|60777770600076777777|60000000600006000007| |60000060600060000060|60777760777760777760|60737360737360737360|60737360737360737360|60777760777760777760|60000060600060000060| |60000000600000000000|60777770600070000000|60737370600000000000|60737370600000000000|60777770600000000000|60000000600000000000|
CompleteShape9_0,|000007700000|000077770000|000777777000|007777777700|077777777770|777777777777|077777777770|007777777700|000777777000|000077770000|000007700000| |077777777770|077777777770|077777777770|077777777770|077777777770|077777777770|077777777770|077777777770|077777777770|077777777770|077777777770| |000007700000|000077770000|000777777000|007777770700|077777777770|777777777777|077777777770|007777777700|000777777000|000077770000|000007700000|
CompleteShape9_1,|00000000000|00000000000|00000000000|00000111111|00001111110|00011111100|00111111100|01111111110|11111111111|00000000000|00000000000|00000000000| |00000000000|00000000000|00000000000|00000000000|01111111110|00111111100|00111111100|01111111110|11111111111|00000000000|00000000000|00000000000| |00000000000|00000000000|00000000000|00000100000|00001010000|00011111000|00111111100|01111111110|11111111111|00000000000|00000000000|00000000000|
CompleteShape9_2,|444444444444444|444444444444444|440000000000044|440000000000044|440000000000044|440000000000044|440000000000044|440000000000044|444444444444444|444444444444444| |444444444444444|404444444444444|440000000000044|440000000000044|440000000000044|440000000000044|440000000000044|440000000000044|444444444444444|444444444444444| |444444444444444|444444444444444|440000000000444|440000000000444|440000000000444|440000000000444|440000000000444|440000000000444|444444444444444|444444444444444|
CenterMinimal_0,|00000|00000|00200|00000|00000| |00000|02220|02220|02220|00000| |00000|00000|00000|00000|00000|
CenterMinimal_1,|0000000|0000000|0000000|0002000|0000000|0000000|0000000| |0000000|0000000|0000000|0000000|0000000|0000000|0000000| |0000000|0222220|0222220|0222220|0222220|0222220|0000000|
CenterMinimal_2,|00000000000|00000000000|00000000000|00000000000|00000000000|00000200000|00000000000|00000000000|00000000000|00000000000|00000000000| |00000000000|02222222220|02222222220|02222222220|02222222220|02222222220|02222222220|02222222220|02222222220|02222222220|00000000000| |00000000000|00000000000|00000000000|00020000000|00000000000|00000000000|00000000000|00000000000|00000000000|00000000000|00000000000|
CompleteShape1_0,|0000000000|0000200000|0004020000|0040404000|0404000400|0040000040|0200000400|0040004040|0004040400|0000404000|0000020000|0000000000| |0000000000|0000000000|0000020000|0000404000|0004000400|0040000040|0200000400|0040004040|0004040400|0000404000|0000020000|0000000000| |0000000000|0000000000|0000440000|0004004000|0040000400|0200000020|0200000020|0040000400|0004004000|0000440000|0000000000|0000000000|
CompleteShape1_1,|000000000|000000000|003333300|003333300|003333300|003333300|003333300|000000000|000000000| |000000000|000000000|000000000|003333000|003333000|003333000|003333000|000000000|000000000| |000000000|000000000|000333300|000300300|000300300|000333300|000000000|000000000|000000000|
CompleteShape1_2,|0000222000|0000222000|0002220222|2222222222|2220222000|0002220222|2222222222|2220222000|0002220000|0002220000| |0000000000|0000000000|0002220222|0002222222|0000000000|0002220222|0002222222|0000000000|0002220000|0002220000| |0002222000|0002222000|0000000000|0002222000|0002222000|0002222000|0002222000|0000000000|0002222000|0002222000|
AboveBelow2_0,|0000000000|0000000000|0000000000|0000000000|0003330000|0003330000|0003330000|0000000000|0006600000|0006600000| |0000000000|0000000000|0000000000|0000000000|0003360000|0003660000|0006630000|0000000000|0000000000|0000000000| |0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0006600000|0006600000|
AboveBelow2_1,|00000000000|00000000000|00000000000|00000000000|00000000000|00000000000|00000000000|00000000000|33000000000|33000000000| |00000000000|00020000000|00220000000|02220000000|02220000000|00000000000|00000000000|00000000000|22000000000|23000000000| |00000000000|00000000000|00000000000|00000000000|00000000000|00000000000|00000000000|00000000000|00000000000|00000000000|
AboveBelow2_2,|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000330|00000000000330|00000055550550|00000055550550|00000000000000|00000000000000|00000000000000|00000000000000| |00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000330|00000000000330|00000055050550|00000050550500|00000000000000|00000000000000|00000000000000|00000000000000| |00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000330|00000000000330|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|
CleanUp5_0,|000000000000000000|000060000000600000|000606000006060000|006000600060006000|060000060600000606|600000006000000060| |000000000000000000|000020006000000000|000000000000000000|006000600000000000|020000060060000020|000060006000000000| |000000000000000000|000000000000600000|000000000006060000|000000000060006000|000000000606060606|000000000000000060|
CleanUp5_1,|100000|010010|001000|000100|000000|000001|000010|500100|001000|010000|100000|010010|000000|000100|000010| |000000|010010|000000|000000|000100|000000|000000|100100|000001|000000|000000|050050|000000|000000|000000| |000000|010000|000000|000101|000010|000001|000010|000100|000000|000000|000000|010000|000000|000100|000010|
CleanUp5_2,|000000|000000|000000|000000|000000|000000|000000|000000|000000|000000|000000|000000|000000|000000|000000|000000|000000|000000|000000| |000300|000000|000003|000000|000000|000000|000003|000000|000000|000000|000003|000000|000000|000000|000000|000030|000000|000000|000000| |300000|030000|003000|000300|000030|000300|003000|030000|300000|030000|003000|000300|000030|000300|003000|030000|300000|030000|003000|
Copy6_0,|666601111|644601331|644601331|666601111|000000000|666601111|644601331|644601331|666601111| |6666011110|6446013310|6446013310|6666011110|0000000000|6666011110|6446013310|6446013310|6666011110|
Copy6_1,|070007000|717071707|070007000|000000000|050005000|565056505|050005000|000000000|010001000| |07000700070|71707170717|07000700070|00000000000|05000500050|56505650565|05000500050|
Copy6_2,|4| |44444044|44444044|00000000|44444044|44444044|00000000|44444044|44444044|00000000|44444044|44444044|
AboveBelow6_0,|0000000000|0000000000|0000333333|0220333333|0220222222|0220000000|0220000000|0220000000| |0000000000|0000000000|0000333333|0220333333|0330222222|0330000000|0220000000|0220000000| |0000000000|0000000000|0000333333|0220333333|0330222222|0220000000|0220000000|0220000000|
AboveBelow6_1,|0000000000000|0000000000000|0000000000000|8888888888888|8888888822222|2222888822222|2222888822222|0000000000000|0000000000000|0000000000000| |0000000000000|0000000000000|0000000000000|8888888888888|8888888822222|2222888888888|2222888822222|0000000000000|0000000000000|0000000000000| |0000000000000|0000000000000|0000000000000|8888888888888|8888888822222|2222888888888|8888888888888|0000000000000|0000000000000|0000000000000|
AboveBelow6_2,|0000000|0000000|0000000|2200021|2200021|2200021|2200021|2200021|2200021| |0000000|0000000|0000000|2200021|1100011|1100011|2200021|2200021|2200021| |0000000|0000000|0000000|2200022|1100011|1100011|1100011|1100011|1100011|
Copy5_0,|777077707|737073707|777077707|000000000|777077707|737073707| |7770777|7370737|7770777|0000000|7770777| |777110777|737000737|777000777|000000000|777110777|737000737|
Copy5_1,|999909999099990|999909999099990|900909009090090| |999990999990999|992990992990992|992990992990992| |99999099999|99299099299|99299099299|99999099999|00001000001|
Copy5_2,|60606060606|00000000000|60606060606|00000000000|60606060606| |00000000000|06060606060|00000000000|06060606060|00000000000| |0000000|0606060|0000000|0606060|
CleanUp7_0,|099900000|090900000|090900000|000990099|000000009|009009909|009090000|009090000|000000000| |099900000|090900000|090900000|000900099|000900009|009909009|009090000|009090000|000000000| |099900000|090900000|090900000|000000099|000000009|009000009|009090000|009090000|000000000|
CleanUp7_1,|000000000|000006600|066066000|660066066|060060060|000000660|000000600|000660000|000060000| |000000000|000006600|066066000|660060666|060000660|000000660|000060600|000660000|000060000| |000000000|000006600|066066000|660000066|060000060|000000060|000000000|000660000|000060000|
CleanUp7_2,|000000000|000000000|010100101|001000010|000000000|000100010|001010101|000100010|000000000| |000000000|010000010|010100101|001000010|000000000|000100010|001010101|000100010|000000000| |000000000|110000001|080100101|001000010|000000000|000100010|001010101|000100010|000000000|
Center2_0,|7| |5| |2|
Center2_1,|6| |5| |1|
Center2_2,|6| |2| |1|
CompleteShape4_0,|0000000000|0000000000|0300000030|0300000030|0300000030|0300000030|0000000000|0000000000|0000000000|0000000000| |0000000000|0000000000|0303003030|0303003030|0303003030|0303003030|0000000000|0000000000|0000000000|0000000000| |0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|
CompleteShape4_1,|0002222220|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0002222220| |0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000| |2202222220|0000000000|0000000000|0000000000|0000000000|2202222220|0000000000|0000000000|0000000000|0000000000|2202222220|0000000000|
CompleteShape4_2,|000000|005000|000000|005000|000000|000000| |000000|005000|005000|005000|000000|000000| |000000|000000|000000|000000|000000|000000|
Copy3_0,|77777000000777777077|00400000000000000007|00400000000000000047|88888000000000000008|00300000000070000088|22222000000000000000| |77777000000000077077|00400000000000000007|00400000000000000047|88888000000000000008|00300000000000000088|22222000000000000000| |77777000000777770000|00400000000000000000|00400000000000000000|88888000000000000000|00300000000000000000|22222000000000000000|
Copy3_1,|0000000000000000|0888880000088880|0800080000082008|0802080000080808|0800080000080008|0888880000088888|0000000000002000|0002000000002800|0002000000000200|0000000000000000|8888888000888888|8888888000000000| |0000000000000000|0888880000000000|0800080000002000|0802080000000800|0800080000000000|0888880000008800|0000000000002000|0002000000002800|0002000000000200|0000000000000000|8888888000008800|0000000000000000| |0000000000000000|0888880000000000|0882880000002000|0882880000000000|0888880000000000|0888880000000000|0080000000002000|0082000000002000|0082800000000000|0088880000000000|8888888000000000|8888888000000000|
Copy3_2,|9999000000009000|2222000000002000|4444000000004000|9999000000009000|2222000000009990|4444000000004000|0000000000000000|0000000000000000|0000000000002220|0000000000000000| |9999000000000000|2222000000000000|4444000000000000|9999000000000000|2222000000099990|4444000000004000|0000000000000000|0000000000000040|0000000000022220|0000000000000000| |9999000000000000|2222000000000000|4444000000000000|9999000000000000|2222000000099990|4444000000000000|0000000000000000|0000000000000000|0000000000022220|0000000000000000|
Copy7_0,|11111|11111|12221|11111|11111|00000|00000|27772|22222|22222|77777|77777| |11111|21112|12221|21112|11111|00000|00000|11111|17771|17777|17777|11777| |11111|21112|12221|21112|11111|00000|00000|77777|72227|72227|72227|77777|
Copy7_1,|000000000000|300000000300|390000004400|393000044400|393300444400|393000044400|390000004400|300000000400|000000000000|000000000000|000000000000| |000000000000|300000000400|330000003400|939000043400|393400443400|949000043400|340000003400|300000000400|000000000000|000000000000|000000000000| |000000000000|900000000300|930000004300|939000044300|494400443400|999000034400|430000004400|400000000400|000000000000|000000000000|000000000000|
Copy7_2,|88888022222|87778020002|87778020002|87778020002|87778020002|88888022222| |77777077777|77777077777|77777077777|77777077777|77777077777|77777077777| |88888022222|87777027772|87778027772|87778027772|87772027772|78822022222|
CompleteShape8_0,|0000000000|0000000000|0770700000|0887000000|0878008000|0788088000|0880887000|0008877000|0008777000|0000000000| |0000000000|0000000000|0708880000|0800000000|0800000000|0808007000|0000000700|0000700000|0000777000|0000000000| |0000000000|0000000000|0708000000|0800000000|0800000000|0808007000|0000000000|0000800000|0000878000|0000000000|
CompleteShape8_1,|0000000000|0000000000|0030309090|0303090900|0030909000|0309090000|0090900000|0909000000|0000000000|0000000000| |0000000000|0000000000|0039990000|0030000000|0033008880|0099308880|0000008880|0999888000|0000000000|0000000000| |0000000000|0000000000|0039900000|0090000000|0099008000|0099308800|0000008800|0999883000|0000000000|0000000000|
CompleteShape8_2,|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000| |0000000000|0002000000|0002000000|0002000000|0002000000|0002000000|0002000000|0002000000|0002000000|0000000000|0000000000|0000000000| |0000000000|0000000000|0000000000|0000000000|0002000000|0000000000|0000000000|0000200000|0002000000|0000000000|0000000000|0000000000|
CleanUp9_0,|000000|444440|400040|400040|000040|044400| |000000|444440|400040|400040|400040|444440| |000000|777770|700070|770070|070770|077700|
CleanUp9_1,|333333|300003|300003|300003|300003|333333| |444444|400004|400044|400004|404004|444444| |343430|300003|400044|300003|304003|333434|
CleanUp9_2,|000000000000|000010000000|000000001000|100010000000|010001001000|011001000000|000000000000|000000001110|000000000000|000000000000|000000010000|000001000000| |000000000000|000000000000|000000000000|000000000000|000000000000|000000000000|000000000000|000000000000|000000000000|000000000000|000000000000|000000000000| |000000000000|000010000000|000000000000|100010000000|010000000000|000000000000|000000000000|000000000010|000000000000|000000000000|000000010000|000000000000|
CompleteShape2_0,|00020000|00020000|00020080|00020000|00020000|00020000|88828888|00020000| |00020000|00020000|00020000|00020000|00020000|00020000|88828888|00020000| |00020000|00020000|00020000|00020000|00020000|00020000|88888888|00020000|
CompleteShape2_1,|000400|000400|000400|999999|000400|000400| |000400|000400|000400|999999|000400|000000| |000400|000000|999999|909490|000400|000000|
CompleteShape2_2,|0000000060|0000000060|6666666666|0000000060|0000000060|0000000060|0000000060|0000000060|0000000060|0000000000| |0000000060|0000000060|6666666600|0000000000|0000000060|0000000060|0000000060|0000000060|0000000060|0000000060| |0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|
CompleteShape5_0,|340000|330330|000330|440000|340033|000033| |330000|330330|000330|440000|340033|000043| |330300|330330|000000|440444|340033|000000|
CompleteShape5_1,|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000| |0300000030|3303000333|0033303300|0000000000|3300300030|3303303303|0033303030|0330300333|3303303000|3333003300| |0330303000|3303000300|3003303300|0000000000|4330003000|3343000000|3303300330|0000000033|0003000000|0033000000|
CompleteShape5_2,|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000| |4330000334|4400000044|4000400403|4004404404|4400000004|4000400443|4004400440|4400004300|4004004000|4444400000| |4030300034|4430404044|3000404400|4004404400|4430003000|4000404400|4404400440|4430000000|0004000000|0044000000|
Center1_0,|00000000000|00000000000|00022222000|00020002000|00020202000|00020002000|00022222000|00000000000|00000000000|00000000000|00000000000| |22222222222|22000000022|22022222022|22020002022|22020202022|22020002022|22022222022|22000000022|22222222222|22222222222|22222222222| |00000000000|00000000000|00022222000|00022222000|00022222000|00022222000|00022222000|00000000000|00000000000|00000000000|00000000000|
Center1_1,|000000000000000|000000000000000|066600006666666|066600006000006|066600006066606|000000006066606|000000006066606|066666006000006|066666006666666|060666000000000|060066000000000|066666000000000|000000000000000|000000000000000|000000000000000| |666666666666666|000006600000000|066606606666666|060606606000006|066606606066606|000006606066606|000000006066606|066666006000006|060006006666666|060606000000000|060006066666666|066666066666666|000000066666666|666666666666666|666666666666666| |000000000000000|000006600000000|066606606666666|066606606000006|066606606066606|066606606066606|066600006066606|066666606000006|066666606666666|066666000000000|066666000000000|066666000000000|000000000000000|000000000000000|000000000000000|
Center1_2,|00000000000000000000|00000070000000707070|00000707000000000000|00007000700000700070|00070070070000000000|00700777107000707070|00070071070000000000|00007010700000000000|00000707000000000000|00000070000777770000|00000000000700070000|00000700000707070000|00007870000700070000|00770087700777770000|00700708700000000000|00707778700000000000|00700708700000000000|00770087700000000000|00007870000000000000|00000700000000000000| |77777000777770000000|77770070077770707070|77700707007770000000|77007000700770707070|70070070070070000000|70700777007070707070|70070070070070000000|77007000700777777777|77700707000000000777|77770070070777770777|77770000770700070777|77700700770707070777|70007070000700070777|70770007700777770777|70700700700000000777|70707770707777777777|70700700707777777777|70770007707777777777|70007070007777777777|77700700777777777777| |00000000777770000000|00000070077770777770|00000777007770777770|00007777700770777770|00077777770070777770|00777777777070777770|00077777770070000000|07007777770707777000|07700777770000000000|07770777777777770000|07770007777777770000|07700700777777770000|00007070007777770000|00770007707777770000|00700700700000000000|00707770700000000000|00700700700000000000|00770007700000000000|00007070000000000000|00000700000000000000|
Center8_0,|00000000000|00000000000|00006000000|00006667670|00666666670|00666666670|00000000000|00600000000|00666666670|06666666660|00666666600| |00000000000|00000000000|00000000000|00000000000|00006066060|00000000000|00000000000|00000000000|00000000000|00000000660|00000000000| |00000000000|00000000000|00000000000|00000000000|00000000000|00000000000|00000000000|00000000000|00000000000|00000000000|00000000000|
Center8_1,|000000000000|000000000500|000555555500|005555555530|000555555500|000000000000|000000000000|000000000000|000000000000|000000000000|000000000000|000000000000| |000000000000|000000000000|000000000030|000550555500|000000300000|000000000000|000000000000|000000000000|000000000000|000000000000|000000000000|000000000000| |000000000000|000000000000|000000000000|000000000000|000000000000|000000000000|000000000000|000000000000|000000000000|000000000000|000000000000|000000000000|
Center8_2,|00000000000|00000000000|00001000000|00007000000|00001000000|00000000000|00001000000|00000000000|00001000000|00000000000|00000000000| |00000000000|00000000000|00000000000|00007000000|00007000000|00007000000|00007000000|00000000000|00000000000|00000000000|00000000000| |00000000000|00000000000|00000000000|00000000000|00000000000|07777777000|00777770000|00000000000|00000000000|00000000000|00000000000|
CleanUp8_0,|3300000000|3300000000|0022000000|0022000000|0000550000|0000550000|0000007700|0000007700|0000000066|0000000066| |0000000000|0000000000|0000000000|0000000000|0000550000|0000550000|0000007700|0000007700|0000000066|0000000066| |550000|550000|007766|007766|
CleanUp8_1,|44000000000000|44000000000000|00770000000000|00770000000000|00009900000000|00009900000000|00000022000000|00000022000000|00000000110000|00000000110000|00000000003300|00000000003300|00000000000055|00000000000055| |44000000000000|44000000000000|00770000000000|00770000000000|00007900000000|00007900000000|00000022000000|00000022000000|00000000177000|00000000110000|00000000003300|00000000069300|00000000000055|00000000000055| |44000000000000|44000000000000|00770000000000|00770000000000|00009900000000|00009900000000|00000000000000|00000000000000|00000000110000|00000000110000|00000000003300|00000000003300|00000000000055|00000000000055|
CleanUp8_2,|111100000000|111100000000|111100000000|111100000000|000044440000|000044440000|000044440000|000044440000|000000002888|000000008888|000000008888|000000005888| |111100000000|111100000000|111100000000|111100000000|000044440000|000044440000|000044440000|000044440000|000000002888|000000002888|000000002888|000000002888| |111100000000|111100000000|111300000000|111300000000|000044440000|050044255000|000044440000|000044340000|000000002888|000000008388|000000008288|000000008288|
Center5_0,|0000000|0000000|0002000|8888888|0002000|0000000|0000000| |0000000|0000000|0000000|8888888|0000000|0000000|0000000| |0000000|0000000|0000000|0000000|0000000|0000000|0000000|
Center5_1,|0000000000|0000000300|0000000300|0000007370|0000000300|0000000300|0000000000|0000000000|0000000000|0000000000| |0000000000|0000000300|0000000300|0000000300|0000000300|0000000300|0000000000|0000000000|0000000000|0000000000| |0000000000|0000000030|0000007730|0000000030|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|
Center5_2,|0000110000|0000110000|4444444444|0000110000|0000110000|0000000000|0000000000|0000000000|0000000000|0000000000| |0000000000|0000110000|4004444444|0000110000|0000110000|0000000000|0000000000|0000000000|0000000000|0000000000| |0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|0000000000|
CleanUp2_0,|1111111111|0111110111|1111011111|1111010101|1111111111|1101011111|1111111011|1111111111|1101110101|1111111111|1111111111|1111101111| |1111111111|1111111111|1111111111|1111111111|1111111111|1111111111|1111111111|1111111111|1111111111|1111111111|1111111111|1111001111| |1111111111|1110110111|1111111111|1010110101|1111111111|1111111111|1101111011|1111111111|1010110101|1111111111|1111111111|1111001111|
CleanUp2_1,|00000000000|00777777700|00777777700|00777777700|00777777700|00000000000| |00000000000|00777777770|00077777700|00077777700|77077777707|00000000000| |77777777777|77777777777|77777777777|77777777777|77777777777|77777777777|
CleanUp2_2,|000000|000000|000400|000000|400040|000000| |444444|400004|404404|000000|040040|000000| |000000|000000|004400|000000|040040|000000|
Copy2_0,|000000000000|000300000000|033233000000|033233000000|000300000000|008888888000|008888888000|008300308000|008233238000|008233238000|008888888000|000000000000| |000000000000|000300000000|033233000000|033233000000|000300000000|008888888000|008333338000|008322238000|008322238000|008333338000|008888888000|000000000000| |000000000000|000300000000|033233000000|033233000000|000300000000|008888888000|008000038000|008300328000|008000038000|008000008000|008888888000|000000000000|
Copy2_1,|00000000000000000000|00000000000000000000|00444444440000000000|00433333340000000000|00438888340000000000|00438558340000000000|00438888340000000000|00433333340000000000|00444444440000000000|00000000000000000000|00000000000000000000|00000000555555555500|00000000500000000500|00000000544444444500|00000000544333333500|00000000544388883500|00000000544385583500|00000000544388883500|00000000544333333500|00000000555555555500| |00000000000000000000|00000000000000000000|00444444440000000000|00433333340000000000|00438888340000000000|00438558340000000000|00438888340000000000|00433333340000000000|00444444440000000000|00000000000000000000|00000000000000000000|00000000555555555500|00000000544444444500|00000000548888884500|00000000548888884500|00000000548888884500|00000000548888884500|00000000548888884500|00000000544444444500|00000000555555555500| |00000000000000000000|00000000000000000000|00444444440000000000|00433333340000000000|00438888340000000000|00438558340000000000|00438888340000000000|00433333340000000000|00444444440000000000|00000000000000000000|00000000000000000000|00000000555555555500|00000000504388834500|00000000504380834500|00000000504388834500|00000000504333334500|00000000504444444500|00000000500000000500|00000000500000000500|00000000555555555500|
Copy2_2,|000000088888880|008000080008080|080800080080880|880880080080880|088800080008080|008000080000080|000000088888880| |000000088888880|008000082222280|082800082888280|822280082888280|082800082888280|008000082222280|000000088888880| |000000088888880|008000088008080|080800088008080|800080088008080|080800088008080|008000088008080|000000088888880|
Center6_0,|0000000000000|0000000000000|0000000000000|0000000008800|0000000000800|0000000000800|0080000000800|0088888888800|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000| |0000000000000|0000000000000|0000000000000|0088888888800|0080000000800|0080003000800|0080000000800|0088888888800|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000| |0000000000000|0000000000000|0000000000000|0088888888800|0080000000800|0080000000800|0080003000800|0088888888800|0000000000000|0000000000000|0000000000000|0000000000000|0000000000000|
Center6_1,|00000000000000|00000000000000|00000000000000|00000700000000|00000770000000|00000077000000|00000007700000|07700000770000|00770007700000|00077077000000|00007770000000|00000700000000|00000000000000|00000000000000| |00000000000000|00000000000000|00000000000000|00000700000000|00007770000000|00077777000000|00777777700000|07777777770000|00777777700000|00077777000000|00007770000000|00000700000000|00000000000000|00000000000000| |00000000000000|00000000000000|00000000000000|00000700000000|00007776000000|00077777000000|00777777700006|07777777770000|00777777700000|00077777000000|00007770000000|00000700000000|00000000000000|00000000000000|
Center6_2,|00000000000000|00000000000000|00000000000000|00111111111100|00111111111100|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000| |00000000000000|00000000000000|00000000000000|00100000001100|00111111111100|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000| |00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000444000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|00000000000000|
AboveBelow3_0,|00000000|00000000|00000000|01111111|01555551|01555551|00555550|00555550|00555550|00000000|00000000|00111110| |00000000|00000000|00000000|00111110|00555550|00555550|00555550|00555550|00555550|00000000|00000000|00111110| |00000000|00000000|00000000|00000000|00000000|00555550|00555550|00555550|00555550|00011000|00011000|00011110|
AboveBelow3_1,|00000000|01111111|01444441|01400041|00400040|00400040|00400040|00000000| |00000000|00111110|00444440|00400040|00400040|00400040|00444440|00000000| |00000000|00001110|00400040|00400040|00400040|00400040|00444440|00000000|
